filename,session_date_iso,fecha,tipo,sesion,reunion,source_url,format,provisional,file_size_bytes,file_sha256,json_sha256,downloaded_at_utc
1997-12-18_r117_TRIBUNAL_DE_JUICIO_POLITICO.pdf,1997-12-18,18-12-1997,TRIBUNAL DE JUICIO POLITICO,21,117,https://www.senado.gov.ar/parlamentario/sesiones/18-12-1997/117/downloadTac,pdf,unstated,1304439,de42f54f511eae2eb16cf0f9ca2933f07570ce3264efec18d5d03623cde565ee,85c8761050978ab2a61c59012f4d22234cd45ba83dbf9ac35550b8d357f52ea1,2026-09-18T21:40:18+00:00
1998-02-25_r01_PREPARATORIA.pdf,1998-02-25,25-02-1998,PREPARATORIA,00,01,https://www.senado.gov.ar/parlamentario/sesiones/25-02-1998/01/downloadTac,pdf,false,117794,9f5ad44651cf7aca4bae909d5360b9f69d9524f5730456f0b9f9f7a9e03ef9d8,18cf61c0e884fe5a616e83ab5a1edf550e7ee9403765a3979c31799cd432d300,2026-09-18T21:17:38+00:00
1998-03-01_r00_ASAMBLEA.html,1998-03-01,01-03-1998,ASAMBLEA,00,00,https://www.senado.gov.ar/parlamentario/sesiones/01-03-1998/00/downloadTac,html,false,68155,2e2af7f44819598ca0fa80ce2234c58e41d18ad6eab3cba1024bc037e4ffa216,deb46397bb83b7744695dae90894ad535f7438fb82708ae3f36cb2bf40d571fb,2026-09-18T21:17:36+00:00
1998-03-04_r02_ORDINARIA.html,1998-03-04,04-03-1998,ORDINARIA,01,02,https://www.senado.gov.ar/parlamentario/sesiones/04-03-1998/02/downloadTac,html,false,270544,f23e704a7e2227d9e1bc944de3ec4f444cf9e58e6d800b32cac059fe55cad755,000c845b1cf9ce5b4e8cc434bc4850731c04d31c12df0e07256aa62d62bc1133,2026-09-18T21:17:34+00:00
1998-03-11_r03_ORDINARIA.html,1998-03-11,11-03-1998,ORDINARIA,02,03,https://www.senado.gov.ar/parlamentario/sesiones/11-03-1998/03/downloadTac,html,false,237593,fa5296556a028e8e0160a4a974424b2064f3dd26445f78cb622783f8da177ba6,15c0f620f737d41c70b6e3a2ba6f6ec583a7f4aaba72d091f74d45252e62b862,2026-09-18T21:17:31+00:00
1998-03-18_r04_ORDINARIA.html,1998-03-18,18-03-1998,ORDINARIA,03,04,https://www.senado.gov.ar/parlamentario/sesiones/18-03-1998/04/downloadTac,html,false,473251,57ef269efeacadcb2fdb0eeafbeae94d11965fce04319c8a0aac59f2ce2208d3,0ba228c65b04fc5840e66e54fa0a2818b5e0bf1737052da4fb31cd33c8446974,2026-09-18T21:17:29+00:00
1998-03-25_r05_ORDINARIA.html,1998-03-25,25-03-1998,ORDINARIA,04,05,https://www.senado.gov.ar/parlamentario/sesiones/25-03-1998/05/downloadTac,html,false,378434,17d27e66e8f4dc140e179dfec949cec7a0fd292690a18e6d18782c246c2d0f09,b56f3bf46e4272c04ebb88d0a2faf757dd7fd0f8eeb5557ebc36e82ba99e5541,2026-09-18T21:17:27+00:00
1998-04-01_r06_ORDINARIA.html,1998-04-01,01-04-1998,ORDINARIA,05,06,https://www.senado.gov.ar/parlamentario/sesiones/01-04-1998/06/downloadTac,html,false,330762,a3503f7ead864da61e6c8449aefd2850a2e6e8ecfe0eec85ad75636d0883ec72,811dc4603b0f97b08704f7ba9ad9f26c29d2523f1e98fe41fc193a17430ad254,2026-09-18T21:17:22+00:00
1998-04-01_r08_ESPECIAL.pdf,1998-04-01,01-04-1998,ESPECIAL,06,08,https://www.senado.gov.ar/parlamentario/sesiones/01-04-1998/08/downloadTac,pdf,false,544907,99d3d8416a97deb1afc9a961364eeaa35f01191c7aa6796cb1fd0de61799a50d,488f9b7356ad78b4a150bfc15b1bd34c756db28758b8c9bd8e1d8edd69988057,2026-09-18T21:17:20+00:00
1998-04-15_r09_ORDINARIA.html,1998-04-15,15-04-1998,ORDINARIA,07,09,https://www.senado.gov.ar/parlamentario/sesiones/15-04-1998/09/downloadTac,html,false,350324,5df18ff1278125e4988561876f9d84496cf043c45d5171a8ccd1afcd26106755,e14a6c10d436956aaa68e234b3b0f164102bd17d48b1e04ee067877bfbc9c846,2026-09-18T21:17:18+00:00
1998-04-22_r11_ORDINARIA.html,1998-04-22,22-04-1998,ORDINARIA,08,11,https://www.senado.gov.ar/parlamentario/sesiones/22-04-1998/11/downloadTac,html,false,329898,7542d001554881ce644d0f7e58b76198690df2ec8eebc4cb9128006b2b6ef813,74f4afe39dcc733a5d0e4db51760142252a0eb9349dea6129b273adb18f5b2fb,2026-09-18T21:17:16+00:00
1998-04-29_r12_ORDINARIA.html,1998-04-29,29-04-1998,ORDINARIA,09,12,https://www.senado.gov.ar/parlamentario/sesiones/29-04-1998/12/downloadTac,html,false,311155,1909e6ba3160fbbfdfe10785fb608a8a656c72f995877883df050bf0cce13d59,e930e2c1f9c94032361300ae41f7f2eeba663ef9fd9df7d5e50d97473dc75f79,2026-09-18T21:17:13+00:00
1998-05-06_r13_ORDINARIA.html,1998-05-06,06-05-1998,ORDINARIA,10,13,https://www.senado.gov.ar/parlamentario/sesiones/06-05-1998/13/downloadTac,html,false,490993,960aa3583162f5c21cfc543d7c198c709fd56dd0a56ca312a8b8759558d325b7,7eb2c23469f65eac4b8ed4f49ddfa747dc04e650c5bf9218e2d73c719cdc747d,2026-09-18T21:17:11+00:00
1998-05-13_r15_ORDINARIA.html,1998-05-13,13-05-1998,ORDINARIA,11,15,https://www.senado.gov.ar/parlamentario/sesiones/13-05-1998/15/downloadTac,html,unstated,768391,7d8f087cf9b9e8afd43290131c221439030bb262ac2f1f744324800cd3ba468d,b9997cf64430114a6a1cf47a12e8a25b37d85199027ce872ab0b70d232340bac,2026-09-18T21:17:09+00:00
1998-05-20_r18_ORDINARIA.html,1998-05-20,20-05-1998,ORDINARIA,12,18,https://www.senado.gov.ar/parlamentario/sesiones/20-05-1998/18/downloadTac,html,false,308320,f16ac354f6148412c2680769aeb8647c900319e7b79e97536481640ebae9815b,587b9047f8c753d8ff6249eac5ce5f70d2506b586c3bdabab782f6a8a843f1fb,2026-09-18T21:17:04+00:00
1998-05-27_r21_ORDINARIA.html,1998-05-27,27-05-1998,ORDINARIA,13,21,https://www.senado.gov.ar/parlamentario/sesiones/27-05-1998/21/downloadTac,html,false,257587,1fff08b2dfbed7ae2d55805f8fe7c18c8c6d8d88d647f8e758ee4009fecbeedd,ab6d1b68672e5e15ea9830b262117f3bce4943f465340b2f9c6381c383646e77,2026-09-18T21:17:02+00:00
1998-06-03_r22_ORDINARIA.html,1998-06-03,03-06-1998,ORDINARIA,14,22,https://www.senado.gov.ar/parlamentario/sesiones/03-06-1998/22/downloadTac,html,false,381663,8d01258e3b6cb690c677bc24523b44a987829f201b90cd844a9c3ef791abe35d,793904e50eaf3a8c67bf775ad0305276571dee3d647ec364d50b6e9e63667597,2026-09-18T21:17:00+00:00
1998-06-10_r24_ORDINARIA.html,1998-06-10,10-06-1998,ORDINARIA,15,24,https://www.senado.gov.ar/parlamentario/sesiones/10-06-1998/24/downloadTac,html,false,370739,2944664b5c7e3f156b1ff3e272a54b1a98ce9a02567edb35fe8ea6965c9301d0,c947e1a0f8d856165372d063e8b1cf1256e906a736a88778bd2e25346ac46141,2026-09-18T21:16:57+00:00
1998-06-17_r25_EN_MINORIA.pdf,1998-06-17,17-06-1998,EN MINORÍA,00,25,https://www.senado.gov.ar/parlamentario/sesiones/17-06-1998/25/downloadTac,pdf,false,118229,cc1772a973e0a3a1cd0f0114e968a1f4a9ade91954fa3e0dd94446f2779750b6,6059675840b2ea1f313ae58895cc3a9fd2803f30c460033047939f686005e911,2026-09-18T21:16:55+00:00
1998-06-24_r26_ORDINARIA.html,1998-06-24,24-06-1998,ORDINARIA,16,26,https://www.senado.gov.ar/parlamentario/sesiones/24-06-1998/26/downloadTac,html,false,287258,158f02fae676e9833575d09c7271f20ccbc824de608658de337437ed33a29d5d,80ab3940f2ce74f61df1c0fcf69ff67dc3f11fc4512bcdb75bd49bcf3061e0da,2026-09-18T21:16:51+00:00
1998-06-24_r27_TRIBUNAL_DE_JUICIO_POLITICO.html,1998-06-24,24-06-1998,TRIBUNAL DE JUICIO POLITICO,15,27,https://www.senado.gov.ar/parlamentario/sesiones/24-06-1998/27/downloadTac,html,false,19820,f35c24bdd6fcd68fc47339e2b688a4265735edc08a0bc2b39b8659a48e276150,7e28a6f308554f75028c919ff560e70077dff150612e8b867b3f1d446bf2c057,2026-09-18T21:16:53+00:00
1998-07-01_r28_ORDINARIA.html,1998-07-01,01-07-1998,ORDINARIA,16,28,https://www.senado.gov.ar/parlamentario/sesiones/01-07-1998/28/downloadTac,html,false,347842,387e986cd2c636ed246edae798d77bb41306115533ddabe97c21da4ba8bb7ab4,339a4dec10ea53fb86d5f97a0698c72dabec593a0385b145edb6801c89665068,2026-09-18T21:16:48+00:00
1998-07-15_r29_ORDINARIA.html,1998-07-15,15-07-1998,ORDINARIA,16,29,https://www.senado.gov.ar/parlamentario/sesiones/15-07-1998/29/downloadTac,html,false,336657,e08ba2a396b0a62f1c1ae83d254617adae14b64255a8b6a3640720ab1fe4a9c7,7a35c0dc9e14b6d8d2fae35cb4c59e096152c9c07777c64ae183c3a606d0ad91,2026-09-18T21:16:46+00:00
