case,session,pdf,page,parser_speaker,blind_read_label,agree,words_found,label_distance,furniture_in_paragraph,confidence,opening_words,reader_notes,checked_by_hand_afterwards
1,2020-03-01_r00,01-03-2020_ASAMBLEA.pdf,16,Sr. Presidente de la Nación,Sr. Presidente de la Nación.-,yes,yes,previous-page,none,high,"Yo aspiro a que esta vez, a través del diálogo, encontremos el camino que","Label opens the turn on printed page 8 under section title ""4. Mensaje del señor presidente de la Nación""; no new bold label appears on pages 9-16, so it carries through to the quoted words on page 16.",
2,2022-03-01_r00,01-03-2022_ASAMBLEA.pdf,8,Sr. Presidente de la Nación,Sr. Presidente de la Nación.-,yes,yes,same-paragraph,none,high,"Gracias; gracias, diputado. Está todo bien.","Printed on page 8 as ""Sr. Presidente de la Nación.- Gracias; gracias, diputado. Está todo bien.""",
3,2022-03-01_r00,01-03-2022_ASAMBLEA.pdf,8,Sra. Presidenta (Fernández de Kirchner),Sra. Presidenta (Fernández de Kirchner).-,yes,yes,same-paragraph,none,high,"Dale, pedí ahora el minuto de silencio.","Printed as ""Sra. Presidenta (Fernández de Kirchner).- Dale, pedí ahora el minuto de silencio.""; surrounded by ""-Manifestaciones en las bancas."" stage directions, which do not end the turn.",
4,2022-03-01_r00,01-03-2022_ASAMBLEA.pdf,30,Sr. Presidente de la Nación,Sr. Presidente de la Nación.-,yes,yes,previous-page,none,high,"La República Argentina, fiel a los principios de la convivencia internacional, hace un llamamiento","Last label before the quote is the second ""Sr. Presidente de la Nación.-"" on page 21 (""Yo no miento, Alfredo...""); no new label on pages 22-30.",
5,2023-03-01_r00,01-03-2023_ASAMBLEA.pdf,10,Sr. Presidente de la Nación,Sr. Presidente de la Nación.-,yes,yes,previous-page,none,high,"Frente a todos ustedes, vuelvo a exigir hoy a la Justicia que profundice la","Turn opens at the top of printed page 9 (""Buenos días a todos y a todas.""); no new label before the quote on page 10.",
6,2023-03-01_r00,01-03-2023_ASAMBLEA.pdf,22,Sr. Presidente de la Nación,Sr. Presidente de la Nación.-,yes,yes,previous-page,none,high,"Está feliz: gana mejor, tiene obra social, vacaciones, aportes jubilatorios, aguinaldo, apoyo del sindicato","Same turn opened on page 9; pages 10-22 carry no new bold label, so it governs the words on page 22.",
7,2023-03-01_r00,01-03-2023_ASAMBLEA.pdf,38,Sr. Presidente de la Nación,Sr. Presidente de la Nación.-,yes,yes,same-paragraph,none,high,"¡No da para reírse! A partir de entonces, solo pudo tener trabajos inestables. Pero,","Printed as ""Sr. Presidente de la Nación.- ¡No da para reírse!"" with ""A partir de entonces..."" continuing the same turn in the next paragraph.",
8,2022-09-01_r09,01-09-2022_ESPECIAL.pdf,28,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,"Gracias, senador. Todas las cuestiones de privilegio planteadas pasan a la Comisión de Asuntos","""Sra. Presidenta (Ledesma Abdala).- Gracias, senador."" followed by the continuation paragraph ""Todas las cuestiones de privilegio planteadas pasan a la Comisión de Asuntos Constitucionales..."".",
9,2022-09-01_r09,01-09-2022_ESPECIAL.pdf,31,Sr. Vischi,Sr. Vischi.-,yes,yes,same-paragraph,none,high,"Muchas gracias, señora presidenta. Quiero solicitar preferencia para el expediente S.-2.157/22, que fuera presentado","""Sr. Vischi.- Muchas gracias, señora presidenta."" with the expediente sentence in the next paragraph of the same turn.",
10,2022-09-01_r09,01-09-2022_ESPECIAL.pdf,48,Sra. Fernández Sagasti,Sra. Fernández Sagasti.-,yes,yes,same-paragraph,none,high,"Muchas gracias. La verdad es que he escuchado atentamente a todos los oradores, tanto","""Sra. Fernández Sagasti.- Muchas gracias."" followed by ""La verdad es que he escuchado atentamente a todos los oradores, tanto..."".",
11,2022-09-01_r09,01-09-2022_ESPECIAL.pdf,60,Sr. Mayans,Sr. Mayans.-,yes,yes,same-paragraph,none,high,Mandamos a comisión ese proyecto y votamos los otros dos. ¿Puede ser?,"Printed as ""Sr. Mayans.- Mandamos a comisión ese proyecto y votamos los otros dos. ¿Puede ser?""",
12,2022-09-01_r09,01-09-2022_ESPECIAL.pdf,74,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,No le cede la interrupción.,"The phrase appears twice on the page (""No. No le cede la interrupción."" and ""No le cede la interrupción.""), ambiguous as to which, but both carry the same label.",
13,2022-09-01_r09,01-09-2022_ESPECIAL.pdf,85,Sr. Mayans,Sr. Mayans.-,yes,yes,same-paragraph,none,high,"Pero los otros dos, con los que sí me comprometí, son los temas de","""Sr. Mayans.- Pero los otros dos, con los que sí me comprometí, son los temas de Coparticipación y de Deportes.""",
14,2021-06-02_r07,02-06-2021_ESPECIAL.pdf,21,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,"Sí, pero está por contestar algo como alusión...","Printed as ""Sra. Presidenta (Ledesma Abdala).- Sí, pero está por contestar algo como alusión...""",
15,2021-06-02_r07,02-06-2021_ESPECIAL.pdf,56,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,Muy bien; gracias. Corresponde votar la autorización de inserciones y abstenciones.,"""Sra. Presidenta (Ledesma Abdala).- Muy bien; gracias."" followed by ""Corresponde votar la autorización de inserciones y abstenciones.""",
16,2021-06-02_r07,02-06-2021_ESPECIAL.pdf,64,Sr. Secretario (Fuentes),Sr. Secretario (Fuentes).-,yes,yes,same-paragraph,none,high,"Afirmativo, senadora Giménez. Gracias. Senador Luenzo: ¿su voto?","""Sr. Secretario (Fuentes).- Afirmativo, senadora Giménez. Gracias."" followed by ""Senador Luenzo: ¿su voto?"" in the same turn.",
