case,session,pdf,page,parser_speaker,blind_read_label,agree,words_found,label_distance,furniture_in_paragraph,confidence,opening_words,reader_notes,checked_by_hand_afterwards
1,2021-03-01_r00,01-03-2021_ASAMBLEA.pdf,24,Sr. Fernández,Sr. Fernández.-,yes,yes,previous-page,none,high,Consensuamos con todas las provincias mecanismos de gestión que permitan movilizar los recursos económicos,"Label opens the turn on page 19 after ""-Manifestaciones fuera del alcance del micrófono.""; pages 20-24 print no further label, so it carries to page 24.",
2,2021-03-01_r00,01-03-2021_ASAMBLEA.pdf,31,Sr. Presidente de la Nación,Sr. Presidente de la Nación.-,yes,yes,previous-page,none,high,"Una Argentina soberana necesita cuidar su espacio marítimo, aéreo y terrestre. Requiere proteger sus",Only label in the run is on page 29; pages 30-31 carry no new label.,
3,2021-03-01_r00,01-03-2021_ASAMBLEA.pdf,32,Sr. Presidente de la Nación,Sr. Presidente de la Nación.-,yes,yes,previous-page,none,high,"Le dimos cobijo al presidente constitucional derrocado y a otros hermanos y hermanas, cuyas","Same turn as case 2, carried from page 29 through page 32.",
4,2022-03-01_r00,01-03-2022_ASAMBLEA.pdf,23,Sr. Presidente de la Nación,Sr. Presidente de la Nación.-,yes,yes,previous-page,none,high,Para que esos nueve objetivos puedan alcanzarse es fundamental que avancemos en la agenda,"Page 21 prints this same label twice (separated by ""-Manifestaciones simultáneas.""); both read identically, so the governing label is unambiguous.",
5,2023-03-01_r00,01-03-2023_ASAMBLEA.pdf,8,Sr. Senador Mayans,Sr. Senador Mayans.-,yes,yes,previous-page,none,high,"Para eso estamos acá, para hacer leyes que hagan más feliz a nuestro pueblo","Turn opens at the foot of page 7; quoted words are the second paragraph of page 8, before the next label (""Sra. Presidenta (Fernández de Kirchner).-"").",
6,2023-03-01_r00,01-03-2023_ASAMBLEA.pdf,23,Sr. Presidente de la Nación,Sr. Presidente de la Nación.-,yes,yes,previous-page,none,high,"A través de esta política, ya alcanzamos a más de 270.925 mujeres y diversidades",Label opens page 9; pages 10-23 print no further label.,
7,2023-03-01_r00,01-03-2023_ASAMBLEA.pdf,27,Sr. Presidente de la Nación,Sr. Presidente de la Nación.-,yes,yes,previous-page,none,high,"En cuanto a la infraestructura edilicia y de equipamiento, se financió la construcción de",Same unbroken turn from page 9 through page 27.,
8,2024-03-01_r00,01-03-2024_ASAMBLEA.pdf,20,Sr. Presidente de la Nación,Sr. Presidente de la Nación.-,yes,yes,previous-page,none,high,"Estas son solo algunas de las reformas que vamos a implementar. Avanzaremos, ya sea",Label appears midway down page 9 after the stage directions for Milei's entry; pages 10-20 print no further label.,
9,2022-09-01_r09,01-09-2022_ESPECIAL.pdf,49,Sra. Fernández Sagasti,Sra. Fernández Sagasti.-,yes,yes,same-paragraph,none,high,¡Acá hay uno que se sentaba en el mismo escritorio en la Casa Rosada!,"Label immediately precedes the quoted exclamation, after ""-La señora senadora Fernández Sagasti exhibe una lámina.""",
10,2022-09-01_r09,01-09-2022_ESPECIAL.pdf,52,Sr. Cornejo,Sr. Cornejo.-,yes,yes,same-paragraph,none,high,"Deberíamos ser precisos, porque muchas veces se invocan los acuerdos de labor parlamentaria –que","Second ""Sr. Cornejo.-"" turn on the page; the quoted words open it directly.",
