case,session,pdf,page,parser_speaker,blind_read_label,agree,words_found,label_distance,furniture_in_paragraph,confidence,opening_words,reader_notes,checked_by_hand_afterwards
1,2001-07-18_r45,2001-07-18_r45_ORDINARIA.pdf,47,Sr. Presidente (Menem),Sr. Presidente (Menem).,yes,yes,same-paragraph,none,high,"¿Me permite, señor senador? Ruego a los señores senadores que presten atención a la",Phrase is preceded on the page by the stenographer's note '— Murmullos en las bancas.' printed correctly (dash then text then period); no oddity in the paragraph itself.,
2,2001-07-18_r45,2001-07-18_r45_ORDINARIA.pdf,57,Sr. Gioja,Sr. Gioja.,yes,yes,same-paragraph,none,high,Señor presidente: me gustaría que se pase lista para saber quiénes son los senadores,"Clean match, nothing unusual.",
3,2001-11-14_r71,2001-11-14_r71_ORDINARIA.pdf,18,Sr. Presidente (Menem),Sr. Presidente (Menem).,yes,yes,same-paragraph,none,high,"En consideración en general. Si no se hace uso de la palabra, se va","The exact phrase 'En consideración en general. Si no se hace uso de la palabra, se va' occurs four times on this page (for Orden del Día 998, 999, 1000 and 1003), every time spoken by Sr. Presidente (Menem), so which occurrence is meant is ambiguous but the speaker is not.",
4,2001-11-14_r71,2001-11-14_r71_ORDINARIA.pdf,21,Sr. Presidente (Menem),Sr. Presidente (Menem).,yes,yes,same-paragraph,none,high,Corresponde considerar el dictamen de la Comisión de Trabajo y Previsión Social en el,"Clean match at top of page, nothing unusual.",
5,2001-11-21_r72,2001-11-21_r72_ORDINARIA.pdf,75,Sr. Presidente (Losada),Sr. Presidente (Losada).,yes,yes,same-paragraph,"logo/footer 'DGT — DIRECCIÓN GENERAL DE TAQUÍGRAFOS' at bottom of page, outside the paragraph",high,"En considera-ción en general. Si no se hace uso de la palabra, se va","The word 'consideración' is broken across a line as 'considera-ción' in both the quoted phrase and the speaker's paragraph (line-wrap hyphenation, matches the quoted phrase's own hyphenation) — flagging as a split word per instructions. Also note the dash after the speaker label reads as a short en-dash '–' rather than the em-dash '—' used elsewhere in the corpus. Earlier on the page there is an italic signature line 'Tomás R. Pruyas.' (the author of a written report), which is not a speaker label but could be mistaken for one.",
6,2003-08-06_r16,2003-08-06_r16_ORDINARIA.pdf,7,Sr. Salvatori,Sr. Salvatori.,yes,yes,same-paragraph,none,high,Quiero adherir al justo homenaje que recibe nuestra Gendarmería Nacional en oportunidad de este,"Clean match, nothing unusual.",
7,2003-10-08_r25,2003-10-08_r25_TRIBUNAL_DE_JUICIO_POLITICO.pdf,68,Sr. Presidente (Gioja),Sr. Presidente (Gioja).,yes,yes,same-paragraph,none,high,"Debo observar que quedan nueve señores senadores en la lista de oradores. Digo, por","This page has no visible running head (date/session/page number) at the top, unlike most other pages in this batch — the page appears to open mid-column with body text and no header row.",
8,2003-11-11_r32,2003-11-11_r32_TRIBUNAL_DE_JUICIO_POLITICO.pdf,34,Sr. Diputado Falú,Sr. Diputado Falú.,yes,yes,same-paragraph,none,high,Como entreveo que este testimonio va a tener exactamente el mismo contenido que el,No running head visible at top of this page either. Speaker label uses 'Diputado' rather than 'Senador' — this appears to be a mixed proceeding (impeachment trial) where a member of the Chamber of Deputies is questioning a witness before the Senate.,
9,2003-11-11_r32,2003-11-11_r32_TRIBUNAL_DE_JUICIO_POLITICO.pdf,52,Sr. Secretario (Estrada),Sr. Secretario (Estrada).,yes,yes,same-paragraph,none,high,Doce. Para que diga si formuló alguna objeción y ante quien por el contenido,"On this page the dash after 'Sr. Secretario (Estrada).' is printed with no space before the following word, e.g. '—Doce.', '—Trece.', '—Catorce.' — consistent throughout the page, so likely just this page's typesetting rather than an error, but flagging since it differs from the spaced dash seen elsewhere in the corpus. No running head visible at top of page.",
10,2003-12-17_r41,2003-12-17_r41_ORDINARIA.pdf,27,Sr. Menem,Sr. Menem.,yes,yes,same-paragraph,none,high,"Señor presidente: desde luego comparto el espíritu del proyecto y lo apoyo. Ahora bien,","Clean match, nothing unusual.",
11,2004-08-11_r18,2004-08-11_r18_ORDINARIA.pdf,59,Sra. Paz,Sra. Paz.,yes,yes,same-paragraph,none,high,"Mayor razón todavía, señor presidente, porque si esta norma se va a regir por","Clean match, nothing unusual.",
12,2004-08-25_r21,2004-08-25_r21_ORDINARIA.pdf,61,Sra. Gallego,Sra. Gallego.,yes,yes,same-paragraph,none,high,"... de alto costo, que podía ser una opción para aquella persona que pudiera","The paragraph containing the quoted phrase begins with an ellipsis '...' because it is the continuation of a sentence that was interrupted earlier on this same page by the stenographer's note '— Murmullos en el recinto.' and by Sr. Presidente (Guinle) calling for silence; the label 'Sra. Gallego.' is printed directly before the resumed text, so the speaker is unambiguous, but the sentence itself started before the interruption.",
13,2004-09-01_r23,2004-09-01_r23_ORDINARIA.pdf,27,Sr. Secretario (Estrada),Sr. Secretario (Estrada).,yes,yes,same-paragraph,none,high,"De conformidad con el Reglamento, corresponde que todo proyecto sea girado a una sola","Clean match, nothing unusual.",
14,2004-12-01_r35,2004-12-01_r35_ORDINARIA.pdf,11,Sr. Presidente,Sr. Presidente.,yes,yes,same-paragraph,none,high,Corresponde considerar la resolución de la Comisión Bicameral Permanente de la Defensoría del Pueblo,"Clean match at top of page, nothing unusual.",
15,2004-12-16_r36,2004-12-16_r36_ORDINARIA.pdf,64,Sr. Presidente (Guinle),Sr. Presidente (Guinle).,yes,yes,same-paragraph,none,high,"Corresponde considerar el dictamen de la Comisión de Educación, Cultura, Ciencia y Tecnología en","The exact phrase 'Corresponde considerar el dictamen de la Comisión de Educación, Cultura, Ciencia y Tecnología en' occurs four times on this page (items 116, 117, 118 and 119), every time spoken by Sr. Presidente (Guinle), so which occurrence is meant is ambiguous but the speaker is not.",
