case,session,source_file,page,parser_speaker,blind_read_label,agree,opening_words,which_occurrence,reader_notes
g001,1998-03-04_r02,1998-03-04_r02_ORDINARIA.html,,Sr. YOMA,Sr. YOMA,yes,"Señor presidente: quiero hacer una muy breve aclaración. La contradicción con la ley de contrato de trabajo es que ésta, en su artículo 82, coloca la titularidad de los derechos",,
g002,1998-03-04_r02,1998-03-04_r02_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,Señores senadores: estamos manteniendo una sesión muy ordenada. Les ruego no hacer uso de la palabra sin solicitársela a la Presidencia. Tiene la palabra el señor senador por La Pampa.,,
g003,1998-03-11_r03,1998-03-11_r03_ORDINARIA.html,,Sr. MAYA,Sr. MAYA,yes,"¿Me permite una interrupción, señor senador?",,
g004,1998-03-18_r04,1998-03-18_r04_ORDINARIA.html,,Sr. SECRETARIO (Piuzzi),Sr. Secretario (Piuzzi),yes,(Lee:),6 of 69,
g005,1998-03-25_r05,1998-03-25_r05_ORDINARIA.html,,Sr. DE LA SOTA,Sr. DE LA SOTA,yes,"Pido que me disculpen, pero no voy a conceder más interrupciones.",,
g006,1998-03-25_r05,1998-03-25_r05_ORDINARIA.html,,Sr. LOPEZ,Sr. LOPEZ,yes,¿En el gobierno del oficialismo?,,
g007,1998-03-25_r05,1998-03-25_r05_ORDINARIA.html,,Sr. MAYA,Sr. MAYA,yes,¿Puedo hacer uso de la palabra?,,
g008,1998-04-01_r06,1998-04-01_r06_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero),yes,Señores senadores: ruego que tomen asiento y que presten atención al orador.,,
g009,1998-04-15_r09,1998-04-15_r09_ORDINARIA.html,,Sr. PROSECRETARIO (Pontaquarto),Sr. PROSECRETARIO (Pontaquarto),yes,(Lee:),12 of 113,
g010,1998-04-15_r09,1998-04-15_r09_ORDINARIA.html,,Sr. SECRETARIO (Piuzzi),Sr. SECRETARIO (Piuzzi),yes,(Lee:),113 of 113,
g011,1998-04-22_r11,1998-04-22_r11_ORDINARIA.html,,Sr. AVELÍN,Sr. AVELÍN,yes,"En segundo término, solicito que la Presidencia fije un tiempo prudencial para formar quórum y, de no lograrse, que se proceda a pasar lista y a levantar la sesión.",,
g012,1998-04-22_r11,1998-04-22_r11_ORDINARIA.html,,Sr. PROSECRETARIO (Pontaquarto),Sr. PROSECRETARIO (Pontaquarto),yes,"(Lee:) ""Artículo 9: El Poder Ejecutivo Nacional deberá reglamentar la presente ley dentro de los treinta días de su promulgación.""",,
g013,1998-04-29_r12,1998-04-29_r12_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE,yes,"Como hay asentimiento, el proyecto de comunicación será girado a las comisiones de Obras Públicas y de Transportes, y también a la Comisión de Presupuesto y Hacienda.",,
g014,1998-04-29_r12,1998-04-29_r12_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE,yes,Tiene la palabra el señor senador por Salta.,,
g015,1998-05-06_r13,1998-05-06_r13_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,"En consideración en general el proyecto de comunicación. Si no se hace uso de la palabra, se va a votar.",,
g016,1998-05-13_r15,1998-05-13_r15_ORDINARIA.html,,Sr. AGUIRRE LANARI,Sr. Figueroa,no,Pido la palabra.,6 of 8,"WordPerfect puts each accented letter in its own <font>, so a name split a bold label across three runs and the parser read only the first ('Sr. AVEL'), which matches nothing. Four senators of that sitting lost their turns: two were swallowed into the chair's, three dropped. Runs are now merged by style, and the parser's sequence of 14 matches the reader's name for name."
g017,1998-05-13_r15,1998-05-13_r15_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero),yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",15 of 32,
g018,1998-05-20_r18,1998-05-20_r18_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE,yes,Corresponde considerar el dictamen de las comisiones de Obras Públicas y de Transportes en el proyecto de comunicación del señor senador Sáez por el que se solicita la construcción de,,
g019,1998-05-27_r21,1998-05-27_r21_ORDINARIA.html,,Sr. PRESIDENTE (Almirón),Sr. PRESIDENTE (Almirón),yes,Tiene la palabra el señor senador por Entre Ríos del bloque justicialista.,,
g020,1998-06-10_r24,1998-06-10_r24_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero),yes,"Entonces, si usted coincide con el señor senador, ¿por qué no deja votar, señor senador?",,
g021,1998-06-10_r24,1998-06-10_r24_ORDINARIA.html,,Sr. PRESIDENTE (Losada),Sr. PRESIDENTE (Losada),yes,"Antes de ceder la palabra al señor senador por Misiones, la Presidencia aclara que el proyecto en consideración es una iniciativa remitida por el Poder Ejecutivo. No se trata de",,
g022,1998-06-24_r26,1998-06-24_r26_ORDINARIA.html,,Sr. YOMA,Sr. YOMA,yes,La concedo.,1 of 2,
g023,1998-06-24_r26,1998-06-24_r26_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,"Le ruego no dialogar, señor senador.",,
g024,1998-07-15_r29,1998-07-15_r29_ORDINARIA.html,,Sr. AVELÍN,Sr. Avelín,yes,Pido la palabra.,1 of 13,
g025,1998-08-12_r34,1998-08-12_r34_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE,yes,Dictamen de las comisiones de Educación y de Cultura en el proyecto de resolución de la señora senadora Rivas por el que se declara de interés educativo y cultural la,,
g026,1998-08-12_r34,1998-08-12_r34_ORDINARIA.html,,Sr. PROSECRETARIO (Pontaquarto),Sr. PROSECRETARIO (Pontaquarto),yes,(Lee:),92 of 93,
g027,1998-08-12_r34,1998-08-12_r34_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero),yes,Tiene la palabra el señor senador por Entre Ríos.,4 of 7,
g028,1998-08-19_r36,1998-08-19_r36_ORDINARIA.html,,Sr. DEL PIERO,Sr. DEL PIERO,yes,"Señor presidente: hago míos los argumentos de que correspondería aprobar la sanción de la Cámara de Diputados. Cuando se consideró en general este proyecto, yo aprobé dicha sanción. Y como",,
g029,1998-08-19_r36,1998-08-19_r36_ORDINARIA.html,,Sr. VILLARROEL,Sr. VILLARROEL,yes,"Señor presidente: sobre el particular tengo una propuesta que obra en poder de la Secretaría Parlamentaria, que trata de abarcar hipótesis no tenidas en cuenta por la norma precedente sobre",,
g030,1998-08-26_r39,1998-08-26_r39_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,Tiene la palabra el señor senador por La Pampa.,1 of 4,
g031,1998-08-26_r39,1998-08-26_r39_ORDINARIA.html,,Sr. YOMA,Sr. YOMA,yes,"¿Me permite una interrupción muy breve, señor senador?",,
g032,1998-09-09_r44,1998-09-09_r44_ORDINARIA.html,,Sr. PRESIDENTE (Losada),Sr. PRESIDENTE (Losada),yes,Tiene la palabra el señor senador por Corrientes del Partido Autonomista.,,
g033,1998-09-09_r44,1998-09-09_r44_ORDINARIA.html,,Sr. PRESIDENTE (Losada),Sr. PRESIDENTE (Losada),yes,En consideración el inciso d). Por Secretaría se dará lectura.,,
g034,1998-09-23_r48,1998-09-23_r48_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,Corresponde considerar el dictamen de la Comisión de la Integración en el proyecto de resolución del señor senador Sapag y otros señores senadores por el que se declaran de interés,,
g035,1998-09-23_r48,1998-09-23_r48_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,Queda aprobada la comunicación. Se procederá en consecuencia.,23 of 57,
g036,1998-09-23_r48,1998-09-23_r48_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. Presidente (Menem),yes,Queda aprobada la declaración. Se procederá en consecuencia.,17 of 27,
g037,1998-09-23_r48,1998-09-23_r48_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,Queda aprobada la comunicación. Se procederá en consecuencia.,48 of 57,
g038,1998-09-23_r48,1998-09-23_r48_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,Por Secretaría se dará lectura al artículo 15.,,
g039,1998-09-23_r48,1998-09-23_r48_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE,yes,Queda sancionado el proyecto de ley. Se comunicará a la Honorable Cámara de Diputados.,8 of 8,
g040,1998-10-07_r51,1998-10-07_r51_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,En consideración en general. Tiene la palabra el señor senador por el Chubut.,,
g041,1998-10-14_r52,1998-10-14_r52_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero),yes,"En consideración la moción de tratamiento sobre tablas. Si no se hace uso de la palabra, se va a votar.",2 of 3,
g042,1998-10-14_r52,1998-10-14_r52_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero),yes,Queda aprobada la declaración. Se procederá en consecuencia.,8 of 9,
g043,1998-10-28_r54,1998-10-28_r54_ORDINARIA.html,,Sr. BRANDA,Sr. BRANDA,yes,Es cosa juzgada.,,
g044,1998-10-28_r54,1998-10-28_r54_ORDINARIA.html,,Sr. GALVÁN,Sr. Galván,yes,"Solicito que a continuación del tratamiento del proyecto del señor senador por Catamarca, este Senado se aboque a considerar sobre tablas el proyecto contenido en el expediente S. 1942/98, referido",,
g045,1998-10-28_r54,1998-10-28_r54_ORDINARIA.html,,Sr. VAQUIR,Sr. VAQUIR,yes,"Sí, señor presidente. Evidentemente, hay diferentes formas de exponer. Nosotros, los médicos, no tenemos tanta experiencia para el manejo de las exposiciones dialécticas. Quizá por ese motivo, mi modalidad se",,
g046,1998-10-28_r54,1998-10-28_r54_ORDINARIA.html,,Sr. PRESIDENTE (Losada),Sr. PRESIDENTE (Losada),yes,Queda aprobada la preferencia.,4 of 5,
g047,1998-11-04_r56,1998-11-04_r56_ORDINARIA.html,,Sr. VILLARROEL,Sr. VILLARROEL,yes,Está bien. Voy a conceder la interrupción porque respeto la opinión ajena. Pero solicito que sea muy breve.,,
g048,1998-11-04_r56,1998-11-04_r56_ORDINARIA.html,,Sr. MENEGHINI,Sr. MENEGHINI,yes,"...por haber sido aludido, desearía hablar...",,
g049,1998-11-04_r56,1998-11-04_r56_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,Queda aprobada la comunicación. Se procederá en consecuencia.,8 of 21,
g050,1998-11-04_r56,1998-11-04_r56_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,Señor senador por Mendoza...,,
g051,1998-11-18_r58,1998-11-18_r58_ORDINARIA.html,,Sr. GALVÁN,Sr. GALVÁN,yes,Pido la palabra.,10 of 21,
g052,1998-11-18_r58,1998-11-18_r58_ORDINARIA.html,,Sr. CAFIERO,Sr. CAFIERO,yes,Señor presidente: voy a pedir disculpas a este cuerpo por solicitarle que se aparte por un minuto de esta discusión para proceder al envío inmediato de la sanción que hemos,,
