case,session,pdf,page,parser_speaker,blind_read_label,agree,words_found,label_distance,furniture_in_paragraph,confidence,opening_words,reader_notes,checked_by_hand_afterwards
1,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,3,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,"Hay cincuenta y cuatro, señor senador.",Direct answer to Sr. Ulloa's question about number of senators present.,
2,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,3,Sr. ULLOA,Sr. ULLOA.-,yes,yes,same-paragraph,none,high,Creo que sería conveniente insistir por unos minutos y pedir a los presidentes de,none,
3,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,3,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,Estamos llamando para formar quórum...,none,
4,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,4,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,"Si hay asentimiento, así se hará.",In response to senator Galván's motion on days/hours of session.,
5,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,4,Sr. GALVÁN,Sr. GALVÁN.-,yes,yes,same-paragraph,none,high,Pido la palabra.,"Only one instance of ""Pido la palabra."" on this page (section 4, before requesting the floor on authorities).",
6,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,4,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,Tiene la palabra el senador por La Rioja.,"A similar but not identical phrase (""Tiene la palabra el señor senador por La Rioja."", with ""señor"") appears earlier on the same page under Sr. PRESIDENTE as well; the exact wording quoted here (""...el senador por La Rioja."", no ""señor"") matches only the second, later instance in section 4.",
7,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,5,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,Así se hará. Se va a votar la moción del señor senador Galván.,none,
8,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,6,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,"Quedan proclamados como presidente provisional el señor senador José Genoud, como vicepresidente el señor",none,
9,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,6,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,Tiene la palabra el señor senador por Entre Ríos.,none,
10,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,6,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,(Aplausos.),high,"Si así no lo hiciereis, Dios y la Patria os lo demanden.","ambiguous - this exact sentence is printed twice on this page (after senator Preto's oath and again after senator Losada's oath); both instances carry the same label, Sr. PRESIDENTE, so the answer is unaffected.",
11,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,6,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,(Aplausos.),high,Invito al señor senador Mario Aníbal Losada a acercarse al estrado de la Presidencia,"Continuation of the same Sr. PRESIDENTE paragraph after ""Si así no lo hiciereis, Dios y la Patria os lo demanden. (Aplausos.)""",
12,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,6,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,(Aplausos.),high,"Si así no lo hiciereis, Dios y la Patria os lo demanden.","ambiguous - same sentence printed twice on this page (after Preto's and after Losada's oaths); both under the same label, Sr. PRESIDENTE.",
13,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,7,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,"Señor senador Antonio Francisco Cafiero: ¿Juráis a la Patria, por Dios y estos Santos",none,
14,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,7,Sr. CAFIERO,Sr. CAFIERO.-,yes,yes,same-paragraph,none,medium,"¡Sí, juro!","ambiguous - ""¡Sí, juro!"" is printed twice on this page, once as Sr. CAFIERO's reply and once as Sr. GENOUD's; I judge this occurrence (the one following the Cafiero oath question, Case 13) to be Cafiero's.",
15,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,7,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,(Aplausos.),high,Invito al señor senador José Genoud a acercarse al estrado de la Presidencia para,"Continuation of the same Sr. PRESIDENTE paragraph after Cafiero's oath and ""(Aplausos.)""",
16,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,7,Sr. GENOUD,Sr. GENOUD.-,yes,yes,same-paragraph,none,medium,"¡Sí, juro!","ambiguous - ""¡Sí, juro!"" is printed twice on this page (Cafiero's and Genoud's replies); I judge this occurrence (following the Genoud oath question, Case 15) to be Genoud's.",
17,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,7,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,(Aplausos.),high,"Como se ha cumplido con el objetivo propuesto, queda concluida esta sesión preparatoria.","Continuation of the same Sr. PRESIDENTE paragraph after Genoud's oath and ""(Aplausos.)""",
18,2000-03-01_r00,2000-03-01_r00_ASAMBLEA.pdf,5,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,"Invito al señor presidente de la Honorable Cámara de Diputados, don Rafael M. Pascual,",none,
19,2000-03-01_r00,2000-03-01_r00_ASAMBLEA.pdf,5,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,Por Secretaría se dará lectura al mensaje y decreto del Poder Ejecutivo nacional por,none,
20,2000-03-01_r00,2000-03-01_r00_ASAMBLEA.pdf,5,Sr. Senador GALVÁN,Sr. Senador GALVÁN.-,yes,yes,same-paragraph,none,high,Señor presidente: hago moción para que se autorice a la Presidencia a efectuar las,"This page prints the label with the word ""Senador"" spelled out (""Sr. Senador GALVÁN.-""), unlike the abbreviated ""Sr. GALVÁN.-"" used in the 2000-02-23 preparatoria pages; reported exactly as printed here.",
21,2000-03-01_r00,2000-03-01_r00_ASAMBLEA.pdf,6,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,Invito a los señores legisladores integrantes de las comisiones de recepción a cumplir su,none,
22,2000-03-01_r00,2000-03-01_r00_ASAMBLEA.pdf,8,Sr. PRESIDENTE DE LA NACIÓN,Sr. PRESIDENTE DE LA NACIÓN.-,yes,yes,previous-page,(Aplausos.),high,Terminar con el déficit fiscal no es una utopía: es una firme decisión. Mis,"Label printed once at the start of the president's address on the first image (printed page 4); the turn runs uninterrupted through printed pages 5-6, with two ""(Aplausos.)"" stage directions appearing before the quoted sentence but no new bold label.",
